catcherid,balls,strikes,is_lhb,is_lhp,is_strike,is_swing,is_miss,is_ballinplay,px,pz,SpinRate,InducedVerticalBreak,HorizontalBreak,Pitch_Type
3,0,0,0,0,1,1,0,0,0.232,1.715,1676.136213,3.673189893,13.50104198,Changeup
3,0,1,0,0,0,0,0,0,0.012,1.228,1811.526716,3.254482284,13.68937454,Changeup
3,1,1,0,0,1,1,0,0,-0.44,2.447,2380.532942,17.73945095,-0.858138829,FourSeam Fastball
3,1,2,0,0,1,1,0,0,-1.28,2.636,2718.492903,3.700698629,-6.80994454,Slider
3,1,2,0,0,0,0,0,0,0.033,0.803,2387.725569,15.57126667,10.21465167,FourSeam Fastball
3,2,2,0,0,1,1,0,0,0.512,1.924,1811.537947,2.231753126,11.78147754,Changeup
3,2,2,0,0,0,1,0,1,-0.004,2.831,2311.920881,17.94265033,3.85228166,FourSeam Fastball
3,0,0,1,0,1,0,0,0,0.601,2.306,2392.761213,18.2615781,2.212143749,FourSeam Fastball
3,0,1,1,0,1,1,1,0,0.994,2.061,1787.502913,3.279430643,13.63630638,Changeup
3,0,2,1,0,1,1,1,0,1.178,1.221,1857.032331,6.762459293,14.2635332,Changeup
3,0,0,0,0,1,0,0,0,0.006,2.28,2215.198713,16.20323993,4.765195459,FourSeam Fastball
3,0,1,0,0,1,1,1,0,-1.477,0.397,2507.866194,-11.71463154,-12.25396958,Curveball
3,0,2,0,0,1,1,0,0,-0.909,1.661,2531.133039,-14.74560498,-10.94317666,Curveball
3,0,2,0,0,0,0,0,0,-1.644,0.625,2580.998274,-13.84106205,-11.40690556,Curveball
3,1,2,0,0,1,1,0,0,-0.148,2.476,2602.97386,0.487177029,-10.82353345,Slider
3,1,2,0,0,0,0,0,0,-0.11,0.958,1799.205793,4.204597965,14.20416412,Changeup
3,2,2,0,0,0,0,0,0,-1.875,0.75,2481.200422,-12.35660981,-12.75179806,Curveball
3,3,2,0,0,0,1,0,1,-0.795,2.828,2347.543684,16.64290859,0.172013657,FourSeam Fastball
3,0,0,1,0,1,0,0,0,0.031,2.195,2339.026594,10.3202634,11.51781425,TwoSeam Fastball
3,0,1,1,0,0,0,0,0,-0.485,0.342,1824.835432,3.828488842,12.75107536,Changeup
3,1,1,1,0,1,1,0,0,-0.741,3.628,2366.524641,17.84290363,5.45354566,FourSeam Fastball
3,1,2,1,0,0,1,0,1,-0.409,2.461,2597.123274,5.520393386,-9.949184805,Slider
3,0,0,0,0,1,0,0,0,-0.156,3.111,2364.320539,18.0282407,3.214836448,FourSeam Fastball
3,0,1,0,0,1,1,0,0,1.052,2.627,1820.590803,3.210999504,15.3309513,Changeup
3,0,2,0,0,1,0,0,0,-1.008,1.543,2336.703352,18.06095554,4.124471515,FourSeam Fastball
3,0,0,0,0,1,1,1,0,-0.729,1.946,2607.627424,-0.606658891,-8.130006224,Slider
3,0,1,0,0,0,1,0,1,-0.386,2.49,2297.738752,18.38186504,4.262024492,FourSeam Fastball
3,0,0,1,0,1,0,0,0,-0.015,2.628,2529.844709,-5.798364148,-15.80561009,Curveball
3,0,1,1,0,0,0,0,0,2.329,3.961,2266.717512,18.11246158,4.613309473,FourSeam Fastball
3,1,1,1,0,1,1,1,0,0.624,1.363,1805.436995,3.391825214,14.36899528,Changeup
3,1,2,1,0,0,0,0,0,-0.864,3.603,2409.304914,16.97890331,2.16636619,FourSeam Fastball
3,2,2,1,0,1,1,1,0,1.065,1.949,1791.746077,6.135809913,14.62601432,Changeup
3,0,0,1,0,0,0,0,0,1.533,2.74,2315.648664,17.72092105,3.473280042,FourSeam Fastball
3,1,0,1,0,0,0,0,0,1.43,2.497,1741.758162,9.05868198,14.63546142,Changeup
3,2,0,1,0,1,1,1,0,0.533,1.458,1839.32469,10.71925975,16.05263099,Changeup
3,2,1,1,0,1,1,0,0,0.044,2.146,1849.288069,5.348447815,13.84061107,Changeup
3,2,2,1,0,1,1,0,0,-0.93,2.081,2501.569319,3.719261423,-7.648812205,Slider
3,2,2,1,0,1,0,0,0,0.032,1.52,2346.043196,16.79474498,2.21633181,FourSeam Fastball
3,0,0,0,0,1,0,0,0,-0.749,1.505,2354.26927,17.07103778,-0.278373003,FourSeam Fastball
3,0,1,0,0,0,1,0,1,-0.559,2.644,2337.384993,16.18742801,0.488920629,FourSeam Fastball
3,0,0,0,0,0,1,0,1,-0.003,3.165,2305.900373,20.03168537,5.656236261,FourSeam Fastball
3,0,0,1,0,1,0,0,0,-0.077,1.964,2337.007307,19.98991252,5.536047548,FourSeam Fastball
3,0,1,1,0,0,0,0,0,0.858,1.562,2366.120344,19.44012691,6.803198427,FourSeam Fastball
3,1,1,1,0,1,1,0,0,0.974,2.253,2348.47801,18.67970516,5.515953153,FourSeam Fastball
3,1,2,1,0,1,1,1,0,-0.771,0.846,2577.352766,-1.669136986,-9.276963621,Slider
